,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,cuisine,latitude,longitude,address1,address2,address3,city,zip_code,state,country
0,VcB2i_9vdtcBraRnF-GuuA,kabul-afghan-cuisine-seattle,Kabul Afghan Cuisine,https://s3-media2.fl.yelpcdn.com/bphoto/vap1rF0PAupqda5U9tNkPw/o.jpg,False,https://www.yelp.com/biz/kabul-afghan-cuisine-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,393.0,"[{'alias': 'afghani', 'title': 'Afghan'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",4.5,"['pickup', 'delivery']",$$,+12065459000,(206) 545-9000,3997.518589020749,afghani,47.66117,-122.33114,2301 N 45th St,,,Seattle,98103,WA,US
2,4hGybUQmHj5TUsgWeOUnpA,afghan-delicious-seattle,Afghan Delicious,https://s3-media4.fl.yelpcdn.com/bphoto/I7kpJUlwzZjKk3Y_BpV4pw/o.jpg,False,https://www.yelp.com/biz/afghan-delicious-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,5.0,"[{'alias': 'afghani', 'title': 'Afghan'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}]",4.0,[],,+12064065645,(206) 406-5645,10860.96503744591,afghani,47.7201332,-122.2975651,12546 28th Ave NE,,Lake City Farmer's Market,Seattle,98125,WA,US
0,t9rfY_0J9YrsjAHw1FcupA,salare-seattle,Salare,https://s3-media1.fl.yelpcdn.com/bphoto/aBAYs_x82SouFU9i0_ZTJQ/o.jpg,False,https://www.yelp.com/biz/salare-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,384.0,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'african', 'title': 'African'}]",4.0,['delivery'],$$$,+12065562192,(206) 556-2192,6186.970788510831,african,47.67595,-122.30122,2404 NE 65th St,,,Seattle,98115,WA,US
1,wqHrLZkr1NBgkgpVpwMdcg,safari-njema-restaurant-seattle,Safari Njema Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/rNcSABk8YRcujial26GMKA/o.jpg,False,https://www.yelp.com/biz/safari-njema-restaurant-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,200.0,"[{'alias': 'african', 'title': 'African'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.5,['delivery'],$$,+12067233058,(206) 723-3058,8625.439113905482,african,47.55598,-122.28409,5041 Rainier Ave S,Ste 107,,Seattle,98118,WA,US
2,xOlWS4yMVhhZ7C6QEAMJRA,blackstar-kebabs-seattle,Blackstar Kebabs,https://s3-media4.fl.yelpcdn.com/bphoto/w50nXsErRmqj8SlKnuM7ow/o.jpg,False,https://www.yelp.com/biz/blackstar-kebabs-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,30.0,"[{'alias': 'african', 'title': 'African'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,[],$$,+12064994019,(206) 499-4019,8738.348781580284,african,47.687018833,-122.26304033,7751 63rd Ave NE,,,Seattle,98115,WA,US
3,7p9bx9mRvkwoPE2MwfBXNA,on-safari-café-seattle,On Safari Café,https://s3-media2.fl.yelpcdn.com/bphoto/cRfA2MXiFYugXk3msPLMhA/o.jpg,False,https://www.yelp.com/biz/on-safari-caf%C3%A9-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,10.0,"[{'alias': 'southafrican', 'title': 'South African'}, {'alias': 'cafes', 'title': 'Cafes'}]",4.5,['delivery'],$$,+12066231463,(206) 623-1463,5725.958828937629,african,47.5740399,-122.330394,3317 3rd Ave S,,,Seattle,98134,WA,US
4,Okctiqfwksb0OzoCo-X9TQ,malaaya-restaurant-seattle,Malaaya Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/cOZ3M-0n7XeAvTlxkX2XdQ/o.jpg,False,https://www.yelp.com/biz/malaaya-restaurant-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,2.0,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'african', 'title': 'African'}]",4.0,[],$$,+12063250350,(206) 325-0350,2897.374275413833,african,47.6116366,-122.3027043,1106 23rd Ave,,,Seattle,98122,WA,US
5,BxOnJRIVhJPqNlJlG4j3Zw,mama-sambusa-s-small-kitchen-seattle,Mama Sambusa’s Small Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/tBNwez7L8uokLWz9SH6bcQ/o.jpg,False,https://www.yelp.com/biz/mama-sambusa-s-small-kitchen-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,2.0,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'african', 'title': 'African'}, {'alias': 'greek', 'title': 'Greek'}]",5.0,[],,+12063562911,(206) 356-2911,3312.2791177721015,african,47.608099346007,-122.29955720942,2510 E Cherry St,,,Seattle,98122,WA,US
6,ctvj0ClpF1L3vCXHXiLSIA,bahati-restaurant-seattle,Bahati Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/dfwQIhjWjNiJSkGOSIFe6Q/o.jpg,False,https://www.yelp.com/biz/bahati-restaurant-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,7.0,"[{'alias': 'african', 'title': 'African'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",4.5,"['pickup', 'delivery']",$$,+12065196465,(206) 519-6465,8691.081942369878,african,47.5557518,-122.2828827,5212 Rainier Ave S,,,Seattle,98118,WA,US
0,9QQ6PKGAJVEq-X5iyrJ5Gg,yalla-seattle-seattle,Yalla Seattle,https://s3-media1.fl.yelpcdn.com/bphoto/zQ914SCGXvwE9Z6EZ_Z8dw/o.jpg,False,https://www.yelp.com/biz/yalla-seattle-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,52.0,"[{'alias': 'arabian', 'title': 'Arabian'}, {'alias': 'syrian', 'title': 'Syrian'}, {'alias': 'lebanese', 'title': 'Lebanese'}]",4.5,['delivery'],,,,1075.6197801355813,arabian,47.6180659758777,-122.326185198959,1510 E Olive Way,,,Seattle,98122,WA,US
