,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,neighborhood,latitude,longitude,address1,address2,address3,city,zip_code,state,country
0,set4BJp5WvZYeRaRPR_Ikg,breezy-town-pizza-seattle-3,Breezy Town Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/2IXJ2YagyfksZJZiM5shMw/o.jpg,False,https://www.yelp.com/biz/breezy-town-pizza-seattle-3?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,109.0,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,['delivery'],$$,+13128849527,(312) 884-9527,667.8904656133456,Beacon Hill,47.5590199,-122.30395,4864 Beacon Ave S,,Clock-Out Lounge,Seattle,98101,WA,US
1,kDEj8gE8R4mDSfiaKoAQDQ,beacon-b-b-q-seattle-2,Beacon B.B.Q.,https://s3-media4.fl.yelpcdn.com/bphoto/VLfM8vj8PPwYSbx2g91_mA/o.jpg,False,https://www.yelp.com/biz/beacon-b-b-q-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,40.0,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'dimsum', 'title': 'Dim Sum'}]",3.5,['delivery'],$,+12067607785,(206) 760-7785,605.6066687650438,Beacon Hill,47.55851,-122.30366,4886 Beacon Ave S,,,Seattle,98108,WA,US
2,L9gSJ8kWOOo9zDxI5Tor5g,fou-lee-market-seattle,Fou Lee Market,https://s3-media3.fl.yelpcdn.com/bphoto/Jwrcc1JzhBvgzJN-wSBL7w/o.jpg,False,https://www.yelp.com/biz/fou-lee-market-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,110.0,"[{'alias': 'filipino', 'title': 'Filipino'}, {'alias': 'intlgrocery', 'title': 'International Grocery'}]",4.0,['delivery'],$,+12067649607,(206) 764-9607,787.8275390416911,Beacon Hill,47.5599599,-122.30506,2050 S Columbian Way,,,Seattle,98108,WA,US
3,4p5QT_8KO2K5mpjWE9P4hA,dim-sum-house-seattle,Dim Sum House,https://s3-media3.fl.yelpcdn.com/bphoto/pn2ldm4zF8jl8UUiXBcPjQ/o.jpg,False,https://www.yelp.com/biz/dim-sum-house-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,92.0,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'cantonese', 'title': 'Cantonese'}]",3.5,['delivery'],$,+12067251867,(206) 725-1867,682.364067666432,Beacon Hill,47.5591,-122.30399,4860 Beacon Ave S,,,Seattle,98108,WA,US
4,y4FXdo02ovNd0YLoRJQH5A,clock-out-lounge-seattle,Clock-Out Lounge,https://s3-media3.fl.yelpcdn.com/bphoto/qbs2KiDsd8Nc-2Cdu-ZsSQ/o.jpg,False,https://www.yelp.com/biz/clock-out-lounge-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,35.0,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,[],$,+12064026322,(206) 402-6322,664.1234996319064,Beacon Hill,47.55902,-122.30395,4864 Beacon Ave S,,,Seattle,98108,WA,US
5,jTSXwELijP907GgCheYSuA,vcs-patriot-café-seattle-2,VCS Patriot Café,https://s3-media3.fl.yelpcdn.com/bphoto/1YNbF38mIg9706bc4zCIOA/o.jpg,False,https://www.yelp.com/biz/vcs-patriot-caf%C3%A9-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,2.0,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'delis', 'title': 'Delis'}]",2.5,[],,+12067621010,(206) 762-1010,1196.2937133243945,Beacon Hill,47.563062,-122.308231,1660 S Columbian Way,,,Seattle,98108,WA,US
0,XE0C4z-DByNlXZ2IUtouhA,reckless-noodle-house-seattle-2,Reckless Noodle House,https://s3-media1.fl.yelpcdn.com/bphoto/SQxhz71_QuJSJi2uyOUzsg/o.jpg,False,https://www.yelp.com/biz/reckless-noodle-house-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,209.0,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,['delivery'],$$,+12063295499,(206) 329-5499,779.6019982815303,Central District,47.5991,-122.29906,2519 S Jackson St,,,Seattle,98144,WA,US
1,qj-J9ZtSHVsrwsXzatU7fA,cherry-street-thai-seattle,Cherry Street Thai,https://s3-media1.fl.yelpcdn.com/bphoto/NbEihlD90omXaJ229Bi5bg/o.jpg,False,https://www.yelp.com/biz/cherry-street-thai-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,267.0,"[{'alias': 'thai', 'title': 'Thai'}]",4.5,['delivery'],$$,+12063256660,(206) 325-6660,285.9965938920043,Central District,47.6081545,-122.2966784,2724 E Cherry St,,,Seattle,98122,WA,US
2,Am2BTcVJ7wQ3S_Uip7r0Jw,lahi-seattle-seattle,Lahi Seattle,https://s3-media2.fl.yelpcdn.com/bphoto/4-BrCnZfoCRL4WIIAHr3gA/o.jpg,False,https://www.yelp.com/biz/lahi-seattle-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,2.0,"[{'alias': 'filipino', 'title': 'Filipino'}, {'alias': 'popuprestaurants', 'title': 'Pop-Up Restaurants'}]",5.0,[],,+12063833677,(206) 383-3677,406.50191084860916,Central District,47.6063309993879,-122.293582633138,2008 S Ferdinad St,,,Seattle,98122,WA,US
3,WZbZ8h_60QMQvO4vpIWpxQ,fats-fried-chicken-and-waffles-seattle,Fat's Fried Chicken & Waffles,https://s3-media2.fl.yelpcdn.com/bphoto/BfBidhqNi2U5kjGennd5KA/o.jpg,False,https://www.yelp.com/biz/fats-fried-chicken-and-waffles-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,545.0,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'waffles', 'title': 'Waffles'}]",4.5,"['pickup', 'delivery']",$$,+12066026863,(206) 602-6863,293.75647652199046,Central District,47.6081253897776,-122.296459855298,2726 E Cherry St,,,Seattle,98122,WA,US
