,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,cuisine
0,VcB2i_9vdtcBraRnF-GuuA,kabul-afghan-cuisine-seattle,Kabul Afghan Cuisine,https://s3-media2.fl.yelpcdn.com/bphoto/vap1rF0PAupqda5U9tNkPw/o.jpg,False,https://www.yelp.com/biz/kabul-afghan-cuisine-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,393.0,"[{'alias': 'afghani', 'title': 'Afghan'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",4.5,"{'latitude': 47.66117, 'longitude': -122.33114}","['pickup', 'delivery']",$$,"{'address1': '2301 N 45th St', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98103', 'country': 'US', 'state': 'WA', 'display_address': ['2301 N 45th St', 'Seattle, WA 98103']}",+12065459000,(206) 545-9000,3997.518589020749,afghani
1,VqnisIO_e4loWnPsyeE89Q,afghan-cuisine-bellevue,Afghan Cuisine,https://s3-media1.fl.yelpcdn.com/bphoto/Jz_YBit8gBLaspjK3az6cQ/o.jpg,False,https://www.yelp.com/biz/afghan-cuisine-bellevue?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,262.0,"[{'alias': 'afghani', 'title': 'Afghan'}, {'alias': 'kebab', 'title': 'Kebab'}]",4.0,"{'latitude': 47.6283111572266, 'longitude': -122.149429321289}",['delivery'],$$,"{'address1': '14320 NE 20th St', 'address2': '', 'address3': '', 'city': 'Bellevue', 'zip_code': '98007', 'country': 'US', 'state': 'WA', 'display_address': ['14320 NE 20th St', 'Bellevue, WA 98007']}",+14256414020,(425) 641-4020,13949.25609246033,afghani
2,4hGybUQmHj5TUsgWeOUnpA,afghan-delicious-seattle,Afghan Delicious,https://s3-media4.fl.yelpcdn.com/bphoto/I7kpJUlwzZjKk3Y_BpV4pw/o.jpg,False,https://www.yelp.com/biz/afghan-delicious-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,5.0,"[{'alias': 'afghani', 'title': 'Afghan'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}]",4.0,"{'latitude': 47.7201332, 'longitude': -122.2975651}",[],,"{'address1': '12546 28th Ave NE', 'address2': '', 'address3': ""Lake City Farmer's Market"", 'city': 'Seattle', 'zip_code': '98125', 'country': 'US', 'state': 'WA', 'display_address': ['12546 28th Ave NE', ""Lake City Farmer's Market"", 'Seattle, WA 98125']}",+12064065645,(206) 406-5645,10860.96503744591,afghani
3,YJ2qbx1O_wd1B70odm2qdA,afghan-choopan-bothell-2,Afghan Choopan,https://s3-media2.fl.yelpcdn.com/bphoto/CLOP17lzfWDonbOkGCB9fw/o.jpg,False,https://www.yelp.com/biz/afghan-choopan-bothell-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,32.0,"[{'alias': 'afghani', 'title': 'Afghan'}]",4.0,"{'latitude': 47.75273, 'longitude': -122.21275}","['pickup', 'delivery']",$$,"{'address1': '17121 Bothell Way NE', 'address2': None, 'address3': '', 'city': 'Bothell', 'zip_code': '98011', 'country': 'US', 'state': 'WA', 'display_address': ['17121 Bothell Way NE', 'Bothell, WA 98011']}",+14252194871,(425) 219-4871,16877.06975820411,afghani
4,Ot4aCao0UasAB9S9lRdf1A,afghan-kebab-house-kent-2,Afghan Kebab House,https://s3-media2.fl.yelpcdn.com/bphoto/nUDVnYcC4xiG3yZJB_JGcw/o.jpg,False,https://www.yelp.com/biz/afghan-kebab-house-kent-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,2.0,"[{'alias': 'afghani', 'title': 'Afghan'}, {'alias': 'halal', 'title': 'Halal'}]",5.0,"{'latitude': 47.3802238, 'longitude': -122.2333201}",[],,"{'address1': '224 1st Ave S', 'address2': None, 'address3': None, 'city': 'Kent', 'zip_code': '98032', 'country': 'US', 'state': 'WA', 'display_address': ['224 1st Ave S', 'Kent, WA 98032']}",+12532368117,(253) 236-8117,28324.081468138873,afghani
0,t9rfY_0J9YrsjAHw1FcupA,salare-seattle,Salare,https://s3-media1.fl.yelpcdn.com/bphoto/aBAYs_x82SouFU9i0_ZTJQ/o.jpg,False,https://www.yelp.com/biz/salare-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,384.0,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'african', 'title': 'African'}]",4.0,"{'latitude': 47.67595, 'longitude': -122.30122}",['delivery'],$$$,"{'address1': '2404 NE 65th St', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98115', 'country': 'US', 'state': 'WA', 'display_address': ['2404 NE 65th St', 'Seattle, WA 98115']}",+12065562192,(206) 556-2192,6186.970788510831,african
1,wqHrLZkr1NBgkgpVpwMdcg,safari-njema-restaurant-seattle,Safari Njema Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/rNcSABk8YRcujial26GMKA/o.jpg,False,https://www.yelp.com/biz/safari-njema-restaurant-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,200.0,"[{'alias': 'african', 'title': 'African'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.5,"{'latitude': 47.55598, 'longitude': -122.28409}",['delivery'],$$,"{'address1': '5041 Rainier Ave S', 'address2': 'Ste 107', 'address3': '', 'city': 'Seattle', 'zip_code': '98118', 'country': 'US', 'state': 'WA', 'display_address': ['5041 Rainier Ave S', 'Ste 107', 'Seattle, WA 98118']}",+12067233058,(206) 723-3058,8625.439113905482,african
2,xOlWS4yMVhhZ7C6QEAMJRA,blackstar-kebabs-seattle,Blackstar Kebabs,https://s3-media4.fl.yelpcdn.com/bphoto/w50nXsErRmqj8SlKnuM7ow/o.jpg,False,https://www.yelp.com/biz/blackstar-kebabs-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,30.0,"[{'alias': 'african', 'title': 'African'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 47.687018833, 'longitude': -122.26304033}",[],$$,"{'address1': '7751 63rd Ave NE', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98115', 'country': 'US', 'state': 'WA', 'display_address': ['7751 63rd Ave NE', 'Seattle, WA 98115']}",+12064994019,(206) 499-4019,8738.348781580284,african
3,7p9bx9mRvkwoPE2MwfBXNA,on-safari-café-seattle,On Safari Café,https://s3-media2.fl.yelpcdn.com/bphoto/cRfA2MXiFYugXk3msPLMhA/o.jpg,False,https://www.yelp.com/biz/on-safari-caf%C3%A9-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,10.0,"[{'alias': 'southafrican', 'title': 'South African'}, {'alias': 'cafes', 'title': 'Cafes'}]",4.5,"{'latitude': 47.5740399, 'longitude': -122.330394}",['delivery'],$$,"{'address1': '3317 3rd Ave S', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98134', 'country': 'US', 'state': 'WA', 'display_address': ['3317 3rd Ave S', 'Seattle, WA 98134']}",+12066231463,(206) 623-1463,5725.958828937629,african
4,Okctiqfwksb0OzoCo-X9TQ,malaaya-restaurant-seattle,Malaaya Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/cOZ3M-0n7XeAvTlxkX2XdQ/o.jpg,False,https://www.yelp.com/biz/malaaya-restaurant-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,2.0,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'african', 'title': 'African'}]",4.0,"{'latitude': 47.6116366, 'longitude': -122.3027043}",[],$$,"{'address1': '1106 23rd Ave', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['1106 23rd Ave', 'Seattle, WA 98122']}",+12063250350,(206) 325-0350,2897.374275413833,african
